symbol,side,quantity,price,expected_price,market_impact,market_impact_bps,slippage_bps,commission,timestamp,order_id
AAPL,SELL,37,145.66,146.14,0.0001,1.0,0.1,0.18,2026-05-09 15:59:37,AAPL_SELL_0
AAPL,BUY,133,131.8,131.69,0.0001,1.0,0.1,0.67,2026-05-29 15:59:37,AAPL_BUY_1
AAPL,BUY,173,144.91,144.88,0.0001,1.0,0.1,0.86,2026-06-22 15:59:37,AAPL_BUY_2
AAPL,BUY,69,146.67,146.54,0.0001,1.0,0.1,0.35,2026-06-08 15:59:37,AAPL_BUY_3
AAPL,BUY,67,157.53,157.65,0.0001,1.0,0.1,0.34,2026-06-15 15:59:37,AAPL_BUY_4
AAPL,BUY,112,142.98,143.32,0.0001,1.0,0.1,0.56,2026-06-17 15:59:37,AAPL_BUY_5
AAPL,SELL,54,156.8,156.36,0.0001,1.0,0.1,0.27,2026-06-30 15:59:37,AAPL_SELL_6
AAPL,BUY,95,148.08,147.25,0.0001,1.0,0.1,0.48,2026-06-18 15:59:37,AAPL_BUY_7
AAPL,SELL,35,156.96,156.9,0.0001,1.0,0.1,0.18,2026-05-20 15:59:37,AAPL_SELL_8
AAPL,BUY,129,143.4,143.48,0.0001,1.0,0.1,0.65,2026-06-06 15:59:37,AAPL_BUY_9
AAPL,BUY,123,147.07,147.24,0.0001,1.0,0.1,0.61,2026-05-21 15:59:37,AAPL_BUY_10
AAPL,BUY,45,161.79,161.66,0.0001,1.0,0.1,0.23,2026-06-19 15:59:37,AAPL_BUY_11
AAPL,BUY,21,146.1,145.6,0.0001,1.0,0.1,0.1,2026-05-19 15:59:37,AAPL_BUY_12
AAPL,SELL,197,155.76,155.88,0.0001,1.0,0.1,0.98,2026-06-24 15:59:37,AAPL_SELL_13
AAPL,BUY,118,163.5,163.9,0.0001,1.0,0.1,0.59,2026-05-28 15:59:37,AAPL_BUY_14
AAPL,BUY,29,150.94,150.88,0.0001,1.0,0.1,0.14,2026-07-02 15:59:37,AAPL_BUY_15
AAPL,SELL,47,150.81,150.36,0.0001,1.0,0.1,0.24,2026-07-03 15:59:37,AAPL_SELL_16
